image,base,variant,format,width,height,bytes
codex_context.png,codex_context,800,png,800,1124,239702
codex_context.png,codex_context,1200,png,858,1205,97960
codex_context.png,codex_context,800,webp,800,1124,90668
codex_context.png,codex_context,800,avif,800,1124,83796
codex_context.png,codex_context,1200,webp,858,1205,108198
codex_context.png,codex_context,1200,avif,858,1205,96388
codex_context.png,codex_context,orig,png,858,1205,173965
create_task_note.png,create_task_note,800,png,800,744,160525
create_task_note.png,create_task_note,1200,png,1136,1057,214502
create_task_note.png,create_task_note,800,webp,800,744,48860
create_task_note.png,create_task_note,800,avif,800,744,43580
create_task_note.png,create_task_note,1200,webp,1136,1057,77764
create_task_note.png,create_task_note,1200,avif,1136,1057,67518
create_task_note.png,create_task_note,orig,png,1136,1057,346010
knowledge_review_example.png,knowledge_review_example,800,png,800,445,99461
knowledge_review_example.png,knowledge_review_example,1200,png,1200,667,177682
knowledge_review_example.png,knowledge_review_example,800,webp,800,445,32652
knowledge_review_example.png,knowledge_review_example,800,avif,800,445,30133
knowledge_review_example.png,knowledge_review_example,1200,webp,1200,667,57128
knowledge_review_example.png,knowledge_review_example,1200,avif,1200,667,52870
knowledge_review_example.png,knowledge_review_example,orig,png,1435,798,288790
obsidian_graph.png,obsidian_graph,800,png,800,783,50530
obsidian_graph.png,obsidian_graph,1200,png,1107,1084,51859
obsidian_graph.png,obsidian_graph,800,webp,800,783,18200
obsidian_graph.png,obsidian_graph,800,avif,800,783,17538
obsidian_graph.png,obsidian_graph,1200,webp,1107,1084,39350
obsidian_graph.png,obsidian_graph,1200,avif,1107,1084,37086
obsidian_graph.png,obsidian_graph,orig,png,1107,1084,151387
obsidian_mardown_diagram.png,obsidian_mardown_diagram,800,png,800,677,45793
obsidian_mardown_diagram.png,obsidian_mardown_diagram,1200,png,933,789,27681
obsidian_mardown_diagram.png,obsidian_mardown_diagram,800,webp,800,677,14988
obsidian_mardown_diagram.png,obsidian_mardown_diagram,800,avif,800,677,12808
obsidian_mardown_diagram.png,obsidian_mardown_diagram,1200,webp,933,789,20278
obsidian_mardown_diagram.png,obsidian_mardown_diagram,1200,avif,933,789,16757
obsidian_mardown_diagram.png,obsidian_mardown_diagram,orig,png,933,789,46536
slash_command_namespace.png,slash_command_namespace,800,png,800,151,27624
slash_command_namespace.png,slash_command_namespace,1200,png,952,180,12664
slash_command_namespace.png,slash_command_namespace,800,webp,800,151,8518
slash_command_namespace.png,slash_command_namespace,800,avif,800,151,8539
slash_command_namespace.png,slash_command_namespace,1200,webp,952,180,11750
slash_command_namespace.png,slash_command_namespace,1200,avif,952,180,6971
slash_command_namespace.png,slash_command_namespace,orig,png,952,180,21450
user_context.png,user_context,800,png,800,454,127431
user_context.png,user_context,1200,png,1200,681,231090
user_context.png,user_context,800,webp,800,454,40278
user_context.png,user_context,800,avif,800,454,38345
user_context.png,user_context,1200,webp,1200,681,71580
user_context.png,user_context,1200,avif,1200,681,67939
user_context.png,user_context,orig,png,1400,795,344218
