image,base,variant,format,width,height,bytes
accept_plan_and_auto_edit.png,accept_plan_and_auto_edit,800,png,800,169,30491
accept_plan_and_auto_edit.png,accept_plan_and_auto_edit,1200,png,960,203,36081
accept_plan_and_auto_edit.png,accept_plan_and_auto_edit,800,webp,800,169,6640
accept_plan_and_auto_edit.png,accept_plan_and_auto_edit,800,avif,800,169,6522
accept_plan_and_auto_edit.png,accept_plan_and_auto_edit,1200,webp,960,203,10148
accept_plan_and_auto_edit.png,accept_plan_and_auto_edit,1200,avif,960,203,7572
accept_plan_and_auto_edit.png,accept_plan_and_auto_edit,orig,png,960,203,47610
claude_free_passes.png,claude_free_passes,800,png,577,159,4233
claude_free_passes.png,claude_free_passes,1200,png,577,159,4233
claude_free_passes.png,claude_free_passes,800,webp,577,159,4294
claude_free_passes.png,claude_free_passes,800,avif,577,159,2616
claude_free_passes.png,claude_free_passes,1200,webp,577,159,4294
claude_free_passes.png,claude_free_passes,1200,avif,577,159,2616
claude_free_passes.png,claude_free_passes,orig,png,577,159,6045
context_questions.png,context_questions,800,png,800,786,248067
context_questions.png,context_questions,1200,png,964,947,262743
context_questions.png,context_questions,800,webp,800,786,65046
context_questions.png,context_questions,800,avif,800,786,56360
context_questions.png,context_questions,1200,webp,964,947,93714
context_questions.png,context_questions,1200,avif,964,947,90118
context_questions.png,context_questions,orig,png,964,947,343723
implementation_done.png,implementation_done,800,png,800,635,140310
implementation_done.png,implementation_done,1200,png,962,763,156322
implementation_done.png,implementation_done,800,webp,800,635,32326
implementation_done.png,implementation_done,800,avif,800,635,28496
implementation_done.png,implementation_done,1200,webp,962,763,45256
implementation_done.png,implementation_done,1200,avif,962,763,32405
implementation_done.png,implementation_done,orig,png,962,763,206889
initial_prompt.png,initial_prompt,800,png,800,369,106152
initial_prompt.png,initial_prompt,1200,png,957,442,116999
initial_prompt.png,initial_prompt,800,webp,800,369,26018
initial_prompt.png,initial_prompt,800,avif,800,369,23332
initial_prompt.png,initial_prompt,1200,webp,957,442,38046
initial_prompt.png,initial_prompt,1200,avif,957,442,26730
initial_prompt.png,initial_prompt,orig,png,957,442,153943
note-taking-finito.png,note-taking-finito,800,png,800,244,54420
note-taking-finito.png,note-taking-finito,1200,png,985,300,64443
note-taking-finito.png,note-taking-finito,800,webp,800,244,12750
note-taking-finito.png,note-taking-finito,800,avif,800,244,12117
note-taking-finito.png,note-taking-finito,1200,webp,985,300,19092
note-taking-finito.png,note-taking-finito,1200,avif,985,300,13760
note-taking-finito.png,note-taking-finito,orig,png,985,300,86977
note-taking-init.png,note-taking-init,800,png,800,77,24800
note-taking-init.png,note-taking-init,1200,png,1200,115,48623
note-taking-init.png,note-taking-init,800,webp,800,77,6222
note-taking-init.png,note-taking-init,800,avif,800,77,6477
note-taking-init.png,note-taking-init,1200,webp,1200,115,10668
note-taking-init.png,note-taking-init,1200,avif,1200,115,10424
note-taking-init.png,note-taking-init,orig,png,1268,122,60051
plan_output.png,plan_output,800,png,800,869,281432
plan_output.png,plan_output,1200,png,959,1042,341111
plan_output.png,plan_output,800,webp,800,869,51588
plan_output.png,plan_output,800,avif,800,869,46948
plan_output.png,plan_output,1200,webp,959,1042,73854
plan_output.png,plan_output,1200,avif,959,1042,56888
plan_output.png,plan_output,orig,png,959,1042,421608
pr-review-output.png,pr-review-output,800,png,800,438,91215
pr-review-output.png,pr-review-output,1200,png,1022,560,106524
pr-review-output.png,pr-review-output,800,webp,800,438,22206
pr-review-output.png,pr-review-output,800,avif,800,438,18923
pr-review-output.png,pr-review-output,1200,webp,1022,560,33488
pr-review-output.png,pr-review-output,1200,avif,1022,560,22494
pr-review-output.png,pr-review-output,orig,png,1022,560,140731
pr-review.png,pr-review,800,png,800,242,49344
pr-review.png,pr-review,1200,png,880,266,51025
pr-review.png,pr-review,800,webp,800,242,9520
pr-review.png,pr-review,800,avif,800,242,8495
pr-review.png,pr-review,1200,webp,880,266,11908
pr-review.png,pr-review,1200,avif,880,266,9061
pr-review.png,pr-review,orig,png,880,266,65057
